weather_id,region,date_id,time_of_day,temperature_c,precipitation_mm,fog_intensity,weather_condition
1,Mumbai,20230101,00:00:00,39.2,4.0,Low,Foggy
2,Delhi,20230101,00:00:00,27.4,2.6,None,Sunny
3,Bengaluru,20230101,00:00:00,24.1,5.2,None,Rainy
4,Hyderabad,20230101,00:00:00,30.0,3.4,Medium,Foggy
5,Ahmedabad,20230101,00:00:00,34.1,4.1,Low,Foggy
6,Chennai,20230101,00:00:00,29.4,3.8,Medium,Foggy
7,Kolkata,20230101,00:00:00,30.9,16.8,Medium,Foggy
8,Pune,20230101,00:00:00,27.8,7.0,None,Rainy
9,Jaipur,20230101,00:00:00,34.6,5.3,None,Rainy
10,Lucknow,20230101,00:00:00,29.5,0.4,High,Foggy
11,Kanpur,20230101,00:00:00,33.1,11.9,None,Rainy
12,Nagpur,20230101,00:00:00,25.3,4.2,High,Foggy
13,Indore,20230101,00:00:00,34.5,5.3,Medium,Foggy
14,Thane,20230101,00:00:00,37.0,20.3,Medium,Foggy
15,Bhopal,20230101,00:00:00,30.2,7.5,High,Foggy
16,Visakhapatnam,20230101,00:00:00,39.4,1.7,High,Foggy
17,Patna,20230101,00:00:00,31.0,5.7,Medium,Foggy
18,Vadodara,20230101,00:00:00,26.6,5.6,None,Rainy
19,Ghaziabad,20230101,00:00:00,33.3,5.8,Medium,Foggy
20,Ludhiana,20230101,00:00:00,35.2,6.9,None,Rainy
21,Agra,20230101,00:00:00,33.0,11.1,Low,Foggy
22,Nashik,20230101,00:00:00,29.6,1.1,Low,Foggy
23,Faridabad,20230101,00:00:00,28.7,5.1,Low,Foggy
24,Meerut,20230101,00:00:00,21.6,3.3,Low,Foggy
25,Rajkot,20230101,00:00:00,26.0,15.5,Low,Foggy
26,Kalyan,20230101,00:00:00,29.6,5.4,Medium,Foggy
27,Vasai-Virar,20230101,00:00:00,29.0,2.2,High,Foggy
28,Varanasi,20230101,00:00:00,24.2,2.4,None,Sunny
29,Srinagar,20230101,00:00:00,26.0,1.4,Low,Foggy
30,Aurangabad,20230101,00:00:00,32.5,1.2,Low,Foggy
31,Dhanbad,20230101,00:00:00,32.6,7.5,High,Foggy
